UID,PHYLUM,CLASS,ORDER,FAMILY,GENUS,TARGET_TAXON,TAXA_ID,TOTAL300,IS_DISTINCT300,LAT_DD83,LON_DD83,STRAH_CAT,EPA_REG,SITE_ID,YEAR,DATE_COL,VISIT_NO,SAMPLE_TYPE,MMI_BENT,BENT_MMI_COND,nearest_station_id
2012507,ARTHROPODA,INSECTA,EPHEMEROPTERA,BAETIDAE,PLAUDITUS,PLAUDITUS,4166,1,1,34.4509602772063,-94.68104222,RiversOther,Region_06,NRS18_OK_10830,2018,9/11/2018,1,BERW,58.13,Good,USC00348285
2012508,ARTHROPODA,INSECTA,TRICHOPTERA,HYDROPSYCHIDAE,CHEUMATOPSYCHE,CHEUMATOPSYCHE,3578,3,1,34.6357308491595,-95.1215903,RiversOther,Region_06,NRS18_OK_10034,2018,9/12/2018,1,BETB,37.95,Fair,USC00349023
2012510,ANNELIDA,OLIGOCHAETA,HAPLOTAXIDA,NAIDIDAE,OPHIDONAIS,OPHIDONAIS,4068,,,35.3731575004358,-98.67906497,SmallStreams,Region_06,NRS18_OK_11422,2019,6/3/2019,1,BERW,18.65,Poor,USC00342039
2012511,ARTHROPODA,INSECTA,EPHEMEROPTERA,BAETIDAE,BAETIS,BAETIS,3501,1,1,36.2702859426244,-95.72555906,RiversOther,Region_06,NRS18_OK_10340,2019,9/17/2019,1,BETB,49.15,Good,US1OKRG0025
2012512,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,LIMNOPHYES,LIMNOPHYES,3928,1,1,38.157451391189,-100.1897315,SmallStreams,Region_07,NRS18_KS_10098,2018,5/7/2018,1,BERW,5.95,Poor,US1KSHG0012
2012513,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,PARAMETRIOCNEMUS,PARAMETRIOCNEMUS,4112,,,39.8957684469827,-101.7077863,SmallStreams,Region_07,NRS18_KS_10086,2018,5/14/2018,1,BERW,29.57,Fair,US1KSCN0007
2012514,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,DICROTENDIPES,DICROTENDIPES,3658,6,1,39.9083852426482,-84.29816434,RiversOther,Region_05,NRS18_OH_10050,2018,5/29/2018,1,BETB,62.45,Good,US1OHMY0034
2012515,ANNELIDA,OLIGOCHAETA,HAPLOTAXIDA,NAIDIDAE,,NAIDIDAE,4003,6,0,38.6576711369321,-97.17331128,SmallStreams,Region_07,NRS18_KS_10103,2018,5/29/2018,1,BERW,14.08,Poor,USC00142478
2012516,ARTHROPODA,MALACOSTRACA,AMPHIPODA,CRANGONYCTIDAE,CRANGONYX,CRANGONYX,3622,,,39.2169141012594,-84.61572904,SmallStreams,Region_05,NRS18_OH_10023,2018,5/30/2018,1,BERW,20.97,Poor,USC00331574
2012517,ARTHROPODA,INSECTA,COLEOPTERA,PSEPHENIDAE,PSEPHENUS,PSEPHENUS,4209,4,1,38.6054480813249,-83.95593345,LargeStreams,Region_04,NRS18_KY_10006,2018,5/31/2018,1,BERW,28.07,Poor,US1KYBC0001
2012518,ANNELIDA,HIRUDINEA,RHYNCHOBDELLIDA,GLOSSIPHONIIDAE,HELOBDELLA,HELOBDELLA,3792,,,29.9104654367424,-95.49178127,SmallStreams,Region_06,NRS18_TX_10016,2018,6/4/2018,1,BERW,16.6,Poor,USC00414327
2012519,MOLLUSCA,BIVALVIA,VENEROIDA,PISIDIIDAE,,PISIDIIDAE,4158,11,0,41.3932650662287,-84.29579378,SmallStreams,Region_05,NRS18_OH_10014,2018,6/4/2018,1,BERW,20.93,Poor,US1OHDF0006
2012520,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CRYPTOCHIRONOMUS,CRYPTOCHIRONOMUS,3625,1,1,37.6463654811375,-98.19185293,SmallStreams,Region_07,NRS18_KS_10100,2018,6/4/2018,1,BERW,31.42,Fair,USC00144313
2012521,ARTHROPODA,INSECTA,COLEOPTERA,GYRINIDAE,GYRINUS,GYRINUS,3774,1,1,42.9441791114345,-83.85332199,SmallStreams,Region_05,NRS18_MI_10033,2018,6/5/2018,1,BERW,4.53,Poor,US1MIGN0028
2012522,ARTHROPODA,INSECTA,EPHEMEROPTERA,BAETIDAE,ACENTRELLA,ACENTRELLA,3407,14,1,41.6076342885273,-77.50377625,SmallStreams,Region_03,NRS18_PA_10004,2018,6/5/2018,1,BERW,77.68,Good,USC00369340
2012523,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,PROCLADIUS,PROCLADIUS,4191,,,40.4535208720091,-88.44482322,SmallStreams,Region_05,NRS18_IL_10363,2018,6/5/2018,1,BERW,28.62,Fair,US1ILFD0012
2012524,ARTHROPODA,INSECTA,TRICHOPTERA,HYDROPSYCHIDAE,CHEUMATOPSYCHE,CHEUMATOPSYCHE,3578,8,1,33.926732736376,-85.05046408,SmallStreams,Region_04,NRS18_GA_10003,2018,6/5/2018,1,BERW,15.13,Poor,US1GAPG0008
2012525,NEMERTEA,ENOPLA,HOPLONEMERTEA,TETRASTEMMATIDAE,PROSTOMA,PROSTOMA,4199,,,41.5401303030311,-83.83336808,LargeStreams,Region_05,NRS18_OH_10029,2018,6/5/2018,1,BERW,43.73,Good,USC00335700
2012526,ARTHROPODA,INSECTA,TRICHOPTERA,,,TRICHOPTERA,4382,1,0,37.8560151108596,-97.14034423,SmallStreams,Region_07,NRS18_KS_10043,2018,6/5/2018,1,BERW,10.22,Poor,US1KSBU0030
2012527,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,POLYPEDILUM,POLYPEDILUM,4178,42,1,38.2627618885793,-81.22257444,LargeStreams,Region_03,NRS18_WV_10010,2018,6/5/2018,1,BERW,66.87,Good,USC00460661
2012528,MOLLUSCA,BIVALVIA,VENEROIDA,PISIDIIDAE,PISIDIUM,PISIDIUM,4159,8,1,35.7493094024648,-97.13433463,LargeStreams,Region_06,NRS18_OK_10001,2018,6/4/2018,1,BERW,31.27,Fair,US1OKLG0013
2012529,ARTHROPODA,INSECTA,PLECOPTERA,CHLOROPERLIDAE,,CHLOROPERLIDAE,3583,8,1,43.2995996383256,-72.49427176,SmallStreams,Region_01,NRS18_VT_10034,2018,6/4/2018,1,BERW,67.73,Good,USC00435977
2012530,ARTHROPODA,INSECTA,EPHEMEROPTERA,CAENIDAE,CAENIS,CAENIS,3542,24,1,35.7176878728481,-96.37697906,LargeStreams,Region_06,NRS18_OK_10002,2018,6/5/2018,1,BERW,42.55,Good,USC00341144
2012531,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,POLYPEDILUM,POLYPEDILUM,4178,15,1,42.876812535132,-72.69005327,SmallStreams,Region_01,NRS18_VT_10011,2018,6/5/2018,1,BERW,77.47,Good,USC00434942
2012532,ARTHROPODA,INSECTA,EPHEMEROPTERA,CAENIDAE,CAENIS,CAENIS,3542,93,1,35.9251264235397,-96.71988346,LargeStreams,Region_06,NRS18_OK_10045,2018,6/5/2018,1,BERW,38.22,Good,US1OKPY0019
2012533,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,RHEOCRICOTOPUS,RHEOCRICOTOPUS,4245,,,33.2665971743894,-116.8176623,RiversOther,Region_09,NRS18_CA_10048,2018,6/5/2018,1,BERW,9.75,Poor,USC00043914
2012534,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,THIENEMANNIELLA,THIENEMANNIELLA,4361,1,1,42.9232894325836,-89.1037515,SmallStreams,Region_05,NRS18_WI_10030,2018,6/5/2018,1,BERW,17.87,Poor,US1WIDA0017
2012535,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,PARACHIRONOMUS,PARACHIRONOMUS,4099,4,1,44.1353623946871,-100.8337449,RiversOther,Region_08,NRS18_SD_10038,2018,6/5/2018,1,BERW,37.85,Poor,USC00398572
2012536,ARTHROPODA,ARACHNIDA,,,,ARACHNIDA,3472,,,29.7336219381804,-96.66281509,RiversMajor,Region_06,NRS18_TX_10055,2018,6/5/2018,1,BETB,33.67,Fair,US1TXCLR013
2012537,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,TRIBELOS,TRIBELOS,4379,1,1,42.7412908146471,-84.54961724,RiversOther,Region_05,NRS18_MI_10056,2018,6/6/2018,1,BETB,20.18,Poor,USC00204631
2012538,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,PHAENOPSECTRA,PHAENOPSECTRA,4143,9,1,41.6558403138801,-76.78470344,LargeStreams,Region_03,NRS18_PA_10021,2018,6/6/2018,1,BERW,61.88,Good,USC00361212
2012539,ARTHROPODA,INSECTA,EPHEMEROPTERA,BAETIDAE,CALLIBAETIS,CALLIBAETIS,3544,1,1,34.3567132243174,-119.0198808,SmallStreams,Region_09,NRS18_CA_10011,2018,6/6/2018,1,BERW,54.43,Fair,USC00048349
2012540,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,PSEUDOCHIRONOMUS,PSEUDOCHIRONOMUS,4212,3,1,34.0695465516065,-84.53634847,LargeStreams,Region_04,NRS18_GA_10001,2018,6/6/2018,1,BERW,16.92,Poor,US1GACE0020
2012541,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,,CRICOTOPUS/ORTHOCLADIUS,3623,44,1,38.2759178788401,-80.83754816,SmallStreams,Region_03,NRS18_WV_10031,2018,6/6/2018,1,BERW,17.1,Poor,USC00468608
2012542,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ABLABESMYIA,ABLABESMYIA,3406,1,1,35.1040103129021,-85.36090452,RiversMajor,Region_04,NRS18_TN_10006,2018,6/6/2018,1,BETB,8.07,Poor,USC00408315
2012543,ARTHROPODA,INSECTA,COLEOPTERA,HALIPLIDAE,PELTODYTES,PELTODYTES,4130,2,1,41.1350848025066,-84.43127542,RiversOther,Region_05,NRS18_OH_10033,2018,6/6/2018,1,BETB,11.73,Poor,US1OHPL0004
2012544,ARTHROPODA,INSECTA,EPHEMEROPTERA,HEPTAGENIIDAE,LEUCROCUTA,LEUCROCUTA,3911,,,40.1622966469912,-88.02743645,LargeStreams,Region_05,NRS18_IL_10054,2018,6/6/2018,1,BERW,28.37,Fair,US1ILCP0091
2012545,ARTHROPODA,MALACOSTRACA,AMPHIPODA,HYALELLIDAE,HYALELLA,HYALELLA,3821,2,1,32.9748016720671,-92.07643948,RiversMajor,Region_06,NRS18_LA_10002,2018,6/6/2018,1,BETB,24.77,Poor,USC00033556
2012546,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CRYPTOCHIRONOMUS,CRYPTOCHIRONOMUS,3625,1,1,35.0988842519799,-85.35359135,RiversMajor,Region_04,NRS18_TN_10026,2018,6/6/2018,1,BETB,2.63,Poor,USC00408315
2012547,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,PARAMETRIOCNEMUS,PARAMETRIOCNEMUS,4112,41,1,42.2349250262574,-78.77276172,SmallStreams,Region_02,NRS18_NY_10010,2018,6/6/2018,1,BERW,51.43,Fair,USC00304808
2012548,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMUS,CHIRONOMUS,3582,3,1,37.7409697567208,-81.57619751,SmallStreams,Region_03,NRS18_WV_10015,2018,6/7/2018,1,BERW,40.4,Fair,USC00464956
2012549,ARTHROPODA,MALACOSTRACA,AMPHIPODA,GAMMARIDAE,,GAMMARIDAE,3743,24,0,41.2337976087358,-84.5905211,RiversMajor,Region_05,NRS18_OH_10012,2018,6/7/2018,1,BETB,39.97,Fair,US1OHPL0001
2012550,ANNELIDA,OLIGOCHAETA,HAPLOTAXIDA,NAIDIDAE,OPHIDONAIS,OPHIDONAIS,4068,3,1,39.5483253330948,-89.43360244,SmallStreams,Region_05,NRS18_IL_10003,2018,6/7/2018,1,BERW,6.53,Poor,USC00114739
2012551,ARTHROPODA,MALACOSTRACA,AMPHIPODA,GAMMARIDAE,GAMMARUS,GAMMARUS,3744,3,1,32.2700996037104,-90.96073809,RiversMajor,Region_06,NRS18_LA_10010,2018,6/6/2018,1,BETB,23.65,Poor,USW00093999
2012552,ARTHROPODA,INSECTA,COLEOPTERA,ELMIDAE,STENELMIS,STENELMIS,4310,4,1,35.3969639413152,-84.27655927,LargeStreams,Region_04,NRS18_TN_10001,2018,6/7/2018,1,BERW,60.18,Good,USC00408891
2012553,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,,CRICOTOPUS/ORTHOCLADIUS,3623,3,1,39.4104590040426,-89.13140441,SmallStreams,Region_05,NRS18_IL_10001,2018,6/8/2018,1,BERW,24.5,Poor,US1ILCN0015
2012554,ARTHROPODA,INSECTA,TRICHOPTERA,LEPTOCERIDAE,NECTOPSYCHE,NECTOPSYCHE,4011,1,1,32.6163205866772,-93.83192406,RiversOther,Region_06,NRS18_LA_10021,2018,6/8/2018,1,BETB,36.7,Poor,US1LACD0026
2012555,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,LARSIA,LARSIA,3890,4,1,30.5777531906679,-91.52159023,LargeStreams,Region_06,NRS18_LA_10013,2018,6/10/2018,1,BERW,24.85,Poor,US1LAPC0004
2012556,ARTHROPODA,INSECTA,COLEOPTERA,ELMIDAE,MACRONYCHUS,MACRONYCHUS,3952,1,1,43.2970920061679,-83.854919,LargeStreams,Region_05,NRS18_MI_10381,2018,6/11/2018,1,BERW,14.65,Poor,USC00200781
2012557,ARTHROPODA,INSECTA,TRICHOPTERA,HYDROPTILIDAE,HYDROPTILA,HYDROPTILA,3846,1,1,37.5558766579209,-121.1504748,RiversMajor,Region_09,NRS18_CA_10035,2018,6/11/2018,1,BETB,28.7,Poor,USC00045741
2012558,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CRYPTOCHIRONOMUS,CRYPTOCHIRONOMUS,3625,1,1,36.2653771560753,-82.31630717,LargeStreams,Region_04,NRS18_TN_10009,2018,6/11/2018,1,BERW,30.45,Poor,USC00404659
2012559,ARTHROPODA,MALACOSTRACA,ISOPODA,ASELLIDAE,CAECIDOTEA,CAECIDOTEA,3540,1,1,29.8973346456281,-90.68333669,LargeStreams,Region_06,NRS18_LA_10001,2018,6/10/2018,1,BETB,10.85,Poor,US1LALF0004
2012560,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,TANYTARSUS,TANYTARSUS,4348,2,1,37.0872538075318,-99.25331095,SmallStreams,Region_07,NRS18_KS_10126,2018,6/11/2018,1,BERW,35.62,Good,US1KSCM0009
2012561,ARTHROPODA,INSECTA,EPHEMEROPTERA,BAETIDAE,,BAETIDAE,3500,1,0,37.1619101695804,-88.71408115,LargeStreams,Region_05,NRS18_IL_10013,2018,6/11/2018,1,BERW,23.08,Poor,USC00113120
2012562,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,KLOOSIA,KLOOSIA,3875,2,1,35.9258186742867,-99.51524603,RiversMajor,Region_06,NRS18_OK_10050,2018,6/11/2018,1,BERW,25.03,Fair,USC00345090
2012563,MOLLUSCA,GASTROPODA,,,,GASTROPODA,3745,38,0,37.069523711458,-89.17324304,LargeStreams,Region_05,NRS18_IL_10030,2018,6/10/2018,1,BETB,25.52,Poor,USC00115880
2012564,ARTHROPODA,MALACOSTRACA,AMPHIPODA,GAMMARIDAE,GAMMARUS,GAMMARUS,3744,1,1,30.794801031892,-91.20538568,SmallStreams,Region_06,NRS18_LA_10012,2018,6/11/2018,1,BERW,34.92,Poor,USC00164573
2012565,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,PLANORBIDAE,GYRAULUS,GYRAULUS,3771,1,1,39.1951946100098,-117.3464915,RiversOther,Region_09,NRS18_NV_10012,2018,6/11/2018,1,BERW,35.07,Poor,USR0000NWAS
2012566,MOLLUSCA,BIVALVIA,VENEROIDA,PISIDIIDAE,PISIDIUM,PISIDIUM,4159,3,1,43.1255579286456,-75.5838354,SmallStreams,Region_02,NRS18_NY_10025,2018,6/12/2018,1,BERW,14.05,Poor,US1NYOD0069
2012567,ARTHROPODA,INSECTA,LEPIDOPTERA,PYRALIDAE,PETROPHILA,PETROPHILA,4142,1,1,29.2389273320159,-98.45168436,RiversOther,Region_06,NRS18_TX_10009,2018,6/12/2018,1,BETB,53.02,Good,USC00417948
2012568,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,PLANORBIDAE,GYRAULUS,GYRAULUS,3771,38,1,46.2485468252275,-101.5314637,LargeStreams,Region_08,NRS18_ND_10015,2018,6/12/2018,1,BERW,27.77,Poor,US1NDGT0009
2012569,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CORYNONEURA,CORYNONEURA,3620,1,1,43.3109667640185,-83.96788191,RiversOther,Region_05,NRS18_MI_10010,2018,6/12/2018,1,BETB,26.73,Fair,US1MISG0010
2012570,ANNELIDA,OLIGOCHAETA,,,,OLIGOCHAETA,4061,115,1,38.1522024682039,-121.2840803,RiversOther,Region_09,NRS18_CA_10032,2018,6/12/2018,1,BETB,15.02,Poor,US1CASJ0020
2012571,ANNELIDA,OLIGOCHAETA,HAPLOTAXIDA,TUBIFICIDAE,SPIROSPERMA,SPIROSPERMA,4302,,,38.6382807745578,-79.19020318,SmallStreams,Region_03,NRS18_WV_10012,2018,6/12/2018,1,BERW,45.52,Good,USC00461091
2012572,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,,CRICOTOPUS/ORTHOCLADIUS,3623,,,41.7429186304748,-80.86951805,RiversOther,Region_05,NRS18_OH_10030,2018,6/12/2018,1,BETB,7.17,Poor,USC00333095
2012573,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,COELOTANYPUS,COELOTANYPUS,3604,,,29.679748534922,-91.28559159,RiversOther,Region_06,NRS18_LA_10014,2018,6/12/2018,1,BETB,45.92,Fair,US1LAMY0002
2012574,ARTHROPODA,INSECTA,PLECOPTERA,PERLIDAE,ACRONEURIA,ACRONEURIA,3412,6,1,,,,Region_05,NRS18_MN_RF001,,6/12/2018,1,BERW,47.75,,ACW00011604
2012575,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,PARATENDIPES,PARATENDIPES,4121,1,1,35.8145455194267,-98.70209368,RiversMajor,Region_06,NRS18_OK_10051,2018,6/12/2018,1,BERW,57.73,Good,USC00348815
2012576,ARTHROPODA,INSECTA,DIPTERA,DOLICHOPODIDAE,,DOLICHOPODIDAE,3671,1,1,37.510173798271,-112.0337049,LargeStreams,Region_08,NRS18_UT_10003,2018,6/12/2018,1,BERW,33.43,Poor,USC00424755
2012577,ARTHROPODA,INSECTA,HEMIPTERA,NEPIDAE,RANATRA,RANATRA,4239,1,1,29.9299768311603,-91.46407665,RiversMajor,Region_06,NRS18_LA_10022,2018,6/12/2018,1,BETB,17.32,Poor,US1LAMY0003
2012578,ARTHROPODA,INSECTA,COLEOPTERA,GYRINIDAE,,GYRINIDAE,3773,1,1,40.373148738011,-81.21326468,SmallStreams,Region_05,NRS18_OH_10005,2018,6/12/2018,1,BERW,25.82,Poor,USC00338240
2012579,ARTHROPODA,INSECTA,EPHEMEROPTERA,BAETIDAE,CENTROPTILUM,CENTROPTILUM,3564,22,1,38.1824514486721,-120.701042,RiversOther,Region_09,NRS18_CA_10031,2018,6/12/2018,1,BERW,52.08,Fair,USC00047702
2012580,MOLLUSCA,BIVALVIA,VENEROIDA,PISIDIIDAE,,PISIDIIDAE,4158,1,1,29.2015432653605,-98.91300267,SmallStreams,Region_06,NRS18_TX_10081,2018,6/13/2018,1,BERW,14.82,Poor,US1TXMDN039
2012581,ARTHROPODA,ARACHNIDA,TROMBIDIFORMES,TORRENTICOLIDAE,TORRENTICOLA,TORRENTICOLA,4371,1,1,43.9146165210406,-72.45774359,SmallStreams,Region_01,NRS18_VT_10006,2018,6/13/2018,1,BERW,57.53,Good,USC00438483
2012582,ARTHROPODA,ARACHNIDA,TROMBIDIFORMES,LEBERTIIDAE,LEBERTIA,LEBERTIA,3892,1,1,37.9097590797239,-121.3253004,RiversMajor,Region_09,NRS18_CA_10033,2018,6/13/2018,1,BETB,14.65,Poor,USC00048554
2012584,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,,CHIRONOMIDAE,3581,,,41.000490835181,-96.40578925,LargeStreams,Region_07,NRS18_NE_10035,2018,6/13/2018,1,BERW,38.03,Fair,USC00250375
2012585,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,DIPLOCLADIUS,DIPLOCLADIUS,3663,8,1,43.1833560665584,-82.90068569,SmallStreams,Region_05,NRS18_MI_10081,2018,6/13/2018,1,BERW,30.08,Fair,USC00208402
2012586,ARTHROPODA,INSECTA,ODONATA,COENAGRIONIDAE,ARGIA,ARGIA,3476,,,37.0769412359408,-113.5970206,SmallStreams,Region_08,NRS18_UT_10005,2018,6/13/2018,1,BERW,8.53,Poor,US1UTWG0012
2012587,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,PAGASTIA,PAGASTIA,4088,1,1,39.2941919584398,-119.9310072,SmallStreams,Region_09,NRS18_NV_10016,2018,6/13/2018,1,BERW,31.97,Poor,USS0019K07S
2012588,ARTHROPODA,MALACOSTRACA,DECAPODA,CAMBARIDAE,,CAMBARIDAE,3548,6,1,35.8290996848797,-83.48464238,SmallStreams,Region_04,NRS18_TN_10004,2018,6/13/2018,1,BERW,21.52,Poor,US1TNSV0005
2012589,ARTHROPODA,ARACHNIDA,TROMBIDIFORMES,LEBERTIIDAE,LEBERTIA,LEBERTIA,3892,1,1,35.9151334434889,-82.99069143,RiversOther,Region_04,NRS18_TN_10024,2018,6/12/2018,1,BETB,16.67,Poor,USC00409847
2012590,ARTHROPODA,INSECTA,TRICHOPTERA,PHILOPOTAMIDAE,CHIMARRA,CHIMARRA,3579,1,1,38.5806748354441,-79.51500414,SmallStreams,Region_03,NRS18_WV_10016,2018,6/13/2018,1,BERW,66.82,Good,USC00468433
2012591,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ABLABESMYIA,ABLABESMYIA,3406,1,1,44.218997611469,-90.21632293,SmallStreams,Region_05,NRS18_WI_10001,2018,6/13/2018,1,BERW,5.88,Poor,USC00475236
2012592,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,GLYPTOTENDIPES,GLYPTOTENDIPES,3756,1,1,30.1213229866022,-90.91754477,RiversMajor,Region_06,NRS18_LA_10016,2018,6/13/2018,1,BETB,16.13,Poor,US1LAAS0015
