UID,PHYLUM,CLASS,ORDER,FAMILY,GENUS,TARGET_TAXON,TAXA_ID,TOTAL300,IS_DISTINCT300,LAT_DD83,LON_DD83,STRAH_CAT,EPA_REG,SITE_ID,YEAR,DATE_COL,VISIT_NO,SAMPLE_TYPE,MMI_BENT,BENT_MMI_COND
1002078,ARTHROPODA,INSECTA,EPHEMEROPTERA,BAETIDAE,ACERPENNA,ACERPENNA,3408,1.0,1.0,,,,,WIRF-0006,2013,,1,BERW,,
1002079,ARTHROPODA,INSECTA,EPHEMEROPTERA,BAETIDAE,BAETIS,BAETIS,3501,3.0,1.0,46.27863,-100.2429,LargeStreams,Region_8,NDLS-1055,2013,6/12/2013,1,BERW,58.57,Good
1002080,ARTHROPODA,INSECTA,DIPTERA,TIPULIDAE,ANTOCHA,ANTOCHA,3465,2.0,1.0,38.06736595,-105.08476,LargeStreams,Region_8,COS9-0934,2013,6/11/2013,1,BERW,36.85,Fair
1002081,ARTHROPODA,INSECTA,ODONATA,COENAGRIONIDAE,ARGIA,ARGIA,3476,,,34.35671322,-119.0198808,SmallStreams,Region_9,CAR9-0902,2013,5/29/2013,1,BERW,30.9,Poor
1002082,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ABLABESMYIA,ABLABESMYIA,3406,6.0,1.0,32.77924,-96.55449,SmallStreams,Region_6,TXS9-0936,2013,6/13/2013,1,BERW,43.6,Good
1002083,ARTHROPODA,INSECTA,DIPTERA,CERATOPOGONIDAE,,CERATOPOGONINAE,3567,1.0,1.0,44.40724,-93.61883,SmallStreams,Region_5,MNS9-0934,2013,6/12/2013,1,BERW,13.28,Poor
1002084,ARTHROPODA,INSECTA,EPHEMEROPTERA,CAENIDAE,CAENIS,CAENIS,3542,1.0,1.0,44.17742,-95.60563,SmallStreams,Region_5,MNSS-1175,2013,6/13/2013,1,BERW,16.7,Poor
1002085,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ABLABESMYIA,ABLABESMYIA,3406,1.0,1.0,37.60461992,-103.6059701,RiversOther,Region_8,COR9-0903,2013,6/13/2013,1,BERW,15.98,Poor
1002086,ARTHROPODA,INSECTA,EPHEMEROPTERA,CAENIDAE,CAENIS,CAENIS,3542,,,39.63865572,-102.1136539,LargeStreams,Region_8,COS9-0926,2013,6/14/2013,1,BERW,39.32,Good
1002088,ARTHROPODA,INSECTA,COLEOPTERA,DYTISCIDAE,AGABUS,AGABUS,3420,30.0,1.0,39.54923086,-105.1317434,LargeStreams,Region_8,COS9-0929,2013,6/16/2013,1,BERW,7.75,Poor
1002089,ARTHROPODA,INSECTA,EPHEMEROPTERA,BAETIDAE,ACENTRELLA,ACENTRELLA,3407,12.0,1.0,44.43994,-72.71384,LargeStreams,Region_1,VTRS-1007,2013,6/17/2013,1,BERW,79.12,Good
1002090,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ABLABESMYIA,ABLABESMYIA,3406,3.0,1.0,39.43248,-77.37975,RiversOther,Region_3,MDRO-1018,2013,6/17/2013,1,BETB,34.98,Fair
1002091,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ABLABESMYIA,ABLABESMYIA,3406,1.0,1.0,,,,,MORF-0009,2013,,1,BERW,,
1002092,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ABLABESMYIA,ABLABESMYIA,3406,2.0,1.0,34.36679167,-85.08705529,SmallStreams,Region_4,GAS9-0922,2013,6/18/2013,1,BERW,31.98,Fair
1002093,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ABLABESMYIA,ABLABESMYIA,3406,2.0,1.0,46.79972,-101.1068,RiversOther,Region_8,NDR9-0907,2013,6/18/2013,1,BERW,56.2,Fair
1002094,ARTHROPODA,INSECTA,COLEOPTERA,HYDROPHILIDAE,BEROSUS,BEROSUS,3511,2.0,1.0,,,,,OKR9-0901,2013,,2,BERW,,
1002095,ARTHROPODA,INSECTA,EPHEMEROPTERA,POTAMANTHIDAE,ANTHOPOTAMUS,ANTHOPOTAMUS,3463,3.0,1.0,45.23426,-93.49636,RiversMajor,Region_5,MNR9-0912,2013,6/18/2013,1,BETB,30.47,Fair
1002096,ARTHROPODA,INSECTA,PLECOPTERA,PERLIDAE,ACRONEURIA,ACRONEURIA,3412,,,,,,,MIRF-0004,2013,,1,BERW,,
1002097,ARTHROPODA,INSECTA,PLECOPTERA,PERLIDAE,ACRONEURIA,ACRONEURIA,3412,,,39.26903,-77.44567,RiversOther,Region_3,MDRO-1015,2013,6/18/2013,1,BETB,39.78,Fair
1002098,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ABLABESMYIA,ABLABESMYIA,3406,5.0,1.0,38.62014,-85.41854,SmallStreams,Region_4,KYS9-0919,2013,6/18/2013,1,BERW,15.0,Poor
1002099,ARTHROPODA,INSECTA,EPHEMEROPTERA,BAETIDAE,,BAETIDAE,3500,1.0,1.0,39.42728,-98.53949,RiversOther,Region_7,KSR9-0904,2013,6/17/2013,1,BERW,37.4,Good
1002100,ARTHROPODA,INSECTA,EPHEMEROPTERA,BAETIDAE,,BAETIDAE,3500,1.0,0.0,35.53,-99.13021,RiversMajor,Region_6,OKR9-0905,2013,6/18/2013,1,BERW,28.15,Fair
1002101,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ABLABESMYIA,ABLABESMYIA,3406,10.0,1.0,,,,,MORF-0004,2013,,1,BERW,,
1002102,ANNELIDA,OLIGOCHAETA,HAPLOTAXIDA,TUBIFICIDAE,AULODRILUS,AULODRILUS,3496,,,40.37315,-81.21327,SmallStreams,Region_5,OHS9-0919,2013,6/18/2013,1,BERW,0.0,Poor
1002103,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ABLABESMYIA,ABLABESMYIA,3406,8.0,1.0,33.35583,-86.60633,SmallStreams,Region_4,ALSS-1063,2013,6/19/2013,1,BERW,20.03,Poor
1002104,ARTHROPODA,INSECTA,PLECOPTERA,PERLIDAE,ACRONEURIA,ACRONEURIA,3412,1.0,1.0,,,,,MIRF-0003,2013,,1,BERW,,
1002105,ARTHROPODA,INSECTA,ODONATA,AESHNIDAE,,AESHNIDAE,3418,1.0,1.0,40.70663,-80.79918,SmallStreams,Region_5,OHS9-0914,2013,6/19/2013,1,BERW,19.6,Poor
1002106,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ACRICOTOPUS,ACRICOTOPUS,3411,2.0,1.0,43.958,-99.04698,SmallStreams,Region_8,SDSS-1190,2013,6/19/2013,1,BERW,20.0,Poor
1002107,ARTHROPODA,ARACHNIDA,,,,ARACHNIDA,3472,1.0,0.0,43.86581,-72.17822,RiversMajor,Region_1,NHR9-0903,2013,6/19/2013,1,BETB,7.22,Poor
1002108,ARTHROPODA,INSECTA,COLEOPTERA,ELMIDAE,ANCYRONYX,ANCYRONYX,3459,,,42.01009,-72.63232,SmallStreams,Region_1,CTSS-1077,2013,6/19/2013,1,BERW,10.87,Poor
1002109,ARTHROPODA,MALACOSTRACA,ISOPODA,ASELLIDAE,CAECIDOTEA,CAECIDOTEA,3540,1.0,1.0,39.61589,-81.92661,LargeStreams,Region_5,OHLS-1071,2013,6/18/2013,1,BERW,2.82,Poor
1002110,ARTHROPODA,INSECTA,EPHEMEROPTERA,BAETIDAE,ACENTRELLA,ACENTRELLA,3407,,,39.07659753,-106.0063979,LargeStreams,Region_8,COS9-0924,2013,6/18/2013,1,BERW,25.87,Poor
1002111,ARTHROPODA,INSECTA,COLEOPTERA,PTILODACTYLIDAE,ANCHYTARSUS,ANCHYTARSUS,3457,7.0,1.0,34.30314742,-84.47051375,SmallStreams,Region_4,GAS9-0919,2013,6/19/2013,1,BERW,62.97,Good
1002112,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ABLABESMYIA,ABLABESMYIA,3406,1.0,1.0,47.18226,-101.7943,SmallStreams,Region_8,NDSS-1106,2013,6/20/2013,1,BERW,39.1,Poor
1002113,ARTHROPODA,INSECTA,EPHEMEROPTERA,BAETIDAE,BAETIS,BAETIS,3501,91.0,1.0,,,,,UTRF-0004,2013,,1,BERW,,
1002114,ARTHROPODA,MALACOSTRACA,AMPHIPODA,,,AMPHIPODA,3450,2.0,0.0,39.57122,-84.66835,SmallStreams,Region_5,OHSS-1125,2013,6/20/2013,1,BERW,36.37,Fair
1002115,ARTHROPODA,MALACOSTRACA,AMPHIPODA,,,AMPHIPODA,3450,3.0,0.0,40.52083,-81.30616,RiversOther,Region_5,OHRO-1031,2013,6/20/2013,1,BETB,8.32,Poor
1002116,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ABLABESMYIA,ABLABESMYIA,3406,1.0,1.0,,,,,MIRF-0002,2013,,1,BETB,,
1002117,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ABLABESMYIA,ABLABESMYIA,3406,4.0,1.0,,,,,MORF-0005,2013,,1,BERW,,
1002118,ARTHROPODA,INSECTA,EPHEMEROPTERA,BAETIDAE,BAETIS,BAETIS,3501,4.0,1.0,42.5695,-84.5928,SmallStreams,Region_5,MIS9-0923,2013,6/19/2013,1,BERW,20.1,Poor
1002119,ARTHROPODA,MALACOSTRACA,AMPHIPODA,,,AMPHIPODA,3450,5.0,0.0,42.82857,-85.6665,SmallStreams,Region_5,MISS-1136,2013,6/20/2013,1,BERW,22.92,Fair
1002120,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ABLABESMYIA,ABLABESMYIA,3406,2.0,1.0,,,,,TXS9-0926,2013,,2,BERW,,
1002121,ARTHROPODA,INSECTA,PLECOPTERA,PERLIDAE,AGNETINA,AGNETINA,3424,,,39.31389,-77.4119,RiversOther,Region_3,MDRO-1014,2013,6/21/2013,1,BETB,22.95,Poor
1002122,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ABLABESMYIA,ABLABESMYIA,3406,3.0,1.0,32.93231611,-86.36246869,SmallStreams,Region_4,ALS9-0918,2013,6/20/2013,1,BERW,32.52,Fair
1002123,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ABLABESMYIA,ABLABESMYIA,3406,2.0,1.0,33.11467,-87.11905,SmallStreams,Region_4,ALSS-1064,2013,6/21/2013,1,BERW,28.65,Poor
1002124,ARTHROPODA,MALACOSTRACA,AMPHIPODA,,,AMPHIPODA,3450,2.0,0.0,44.04151,-92.33874,SmallStreams,Region_5,MNS9-0929,2013,6/20/2013,1,BERW,13.98,Poor
1002125,ARTHROPODA,INSECTA,EPHEMEROPTERA,BAETIDAE,BAETIS,BAETIS,3501,43.0,1.0,40.7413,-115.5544,SmallStreams,Region_9,NVS9-0921,2013,6/18/2013,1,BERW,36.6,Poor
1002126,ARTHROPODA,INSECTA,EPHEMEROPTERA,BAETIDAE,ACENTRELLA,ACENTRELLA,3407,11.0,1.0,41.88666,-114.6866,RiversOther,Region_9,NVR9-0920,2013,6/20/2013,1,BERW,70.22,Good
1002127,ARTHROPODA,INSECTA,COLEOPTERA,HYDROPHILIDAE,ANACAENA,ANACAENA,3453,1.0,1.0,39.97946,-82.38165,SmallStreams,Region_5,OHS9-0922,2013,6/19/2013,1,BERW,34.05,Poor
1002128,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,MICROPSECTRA,MICROPSECTRA,3981,1.0,1.0,46.30527,-123.781,SmallStreams,Region_10,WASS-1140,2013,6/19/2013,1,BERW,9.0,Poor
1002129,ARTHROPODA,INSECTA,EPHEMEROPTERA,BAETIDAE,ACENTRELLA,ACENTRELLA,3407,20.0,1.0,37.06135096,-105.982904,LargeStreams,Region_8,COS9-0925,2013,6/19/2013,1,BERW,54.15,Fair
1002130,ARTHROPODA,MALACOSTRACA,DECAPODA,CAMBARIDAE,,CAMBARIDAE,3548,1.0,1.0,,,,,MIRF-0005,2013,,1,BETB,,
1002131,ARTHROPODA,INSECTA,ODONATA,AESHNIDAE,,AESHNIDAE,3418,1.0,1.0,46.83757,-123.3863,SmallStreams,Region_10,WAS9-0919,2013,6/20/2013,1,BERW,14.37,Poor
1002132,ARTHROPODA,INSECTA,EPHEMEROPTERA,BAETIDAE,BAETIS,BAETIS,3501,1.0,1.0,41.02829,-83.21295,RiversOther,Region_5,OHR9-0907,2013,6/23/2013,1,BETB,42.53,Good
1002133,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ABLABESMYIA,ABLABESMYIA,3406,2.0,1.0,40.63326,-81.54266,RiversOther,Region_5,OHRO-1035,2013,6/23/2013,1,BETB,19.02,Poor
