PUBLICATION_DATE,UID,UNIQUE_ID,SITE_ID,DATE_COL,VISIT_NO,PSTL_CODE,SITETYPE,INDEX_VISIT,SITESAMP,AG_ECO9,SAMPLE_TYPE,METRIC_TAXA_ROOT,COMP_PT,DIVS_PT,FEED_PT,HABT_PT,RICH_PT,TOLR_PT,MMI_BENT,BENT_MMI_COND
6/12/2023,2012552,NRS_TN-10054,NRS18_TN_10001,6/7/2018,1,TN,PROB,,Y,SAP,BERW,WSA,5.28,8.78,8.89,4.32,8,0.84,60.18,Good
6/12/2023,2012553,NRS_IL-10036,NRS18_IL_10001,6/8/2018,1,IL,PROB,,Y,TPL,BERW,WSA,0.42,7.84,2.5,2.94,1,0,24.5,Poor
6/12/2023,2012554,NRS_LA-10207,NRS18_LA_10021,6/8/2018,1,LA,PROB,,Y,CPL,BETB,WSA,8.82,0,5,4.7,1.25,2.25,36.7,Poor
6/12/2023,2012555,NRS_LA-10191,NRS18_LA_10013,6/10/2018,1,LA,PROB,,Y,CPL,BERW,WSA,7.51,2.13,2.5,0.37,0.62,1.78,24.85,Poor
6/12/2023,2012556,NRS_MI-10165,NRS18_MI_10381,6/11/2018,1,MI,PROB,,Y,TPL,BERW,WSA,0,2.61,5,1.18,0,0,14.65,Poor
6/12/2023,2012557,NRS_CA-10934,NRS18_CA_10035,6/11/2018,1,CA,PROB,,Y,XER,BETB,WSA,0,2.14,1.43,6.07,1.18,6.4,28.7,Poor
6/12/2023,2012558,NRS_TN-10105,NRS18_TN_10009,6/11/2018,1,TN,PROB,,Y,SAP,BERW,WSA,0.54,5.11,4.44,5.42,1.5,1.26,30.45,Poor
6/12/2023,2012559,NRS_LA-10091,NRS18_LA_10001,6/10/2018,1,LA,PROB,,Y,CPL,BETB,WSA,0,1.72,3.75,0,0.62,0.42,10.85,Poor
6/12/2023,2012560,NRS_KS-10275,NRS18_KS_10126,6/11/2018,1,KS,PROB,,Y,SPL,BERW,WSA,3.11,5.12,4.29,6.85,2,0,35.62,Good
6/12/2023,2012561,NRS_IL-10077,NRS18_IL_10013,6/11/2018,1,IL,PROB,,Y,TPL,BERW,WSA,2.68,6.99,0,1.18,3,0,23.08,Poor
6/12/2023,2012562,NRS_OK-10047,NRS18_OK_10050,6/11/2018,1,OK,PROB,,Y,SPL,BERW,WSA,3.93,4.27,0,1.96,2,2.86,25.03,Fair
6/12/2023,2012563,NRS_IL-10124,NRS18_IL_10030,6/10/2018,1,IL,PROB,,Y,CPL,BETB,WSA,6.49,3.43,3.75,0,0.62,1.02,25.52,Poor
6/12/2023,2012564,NRS_LA-10200,NRS18_LA_10012,6/11/2018,1,LA,PROB,,Y,CPL,BERW,WSA,9.59,1.3,1.25,1.76,0.62,6.43,34.92,Poor
6/12/2023,2012565,NRS_NV-10398,NRS18_NV_10012,6/11/2018,1,NV,PROB,,Y,XER,BERW,WSA,4.08,4.27,5.71,4.04,2.94,0,35.07,Poor
6/12/2023,2012566,NRS_NY-10125,NRS18_NY_10025,6/12/2018,1,NY,PROB,,Y,NAP,BERW,WSA,0,0,5.56,2.75,0,0.12,14.05,Poor
6/12/2023,2012567,NRS_TX-10109,NRS18_TX_10009,6/12/2018,1,TX,PROB,,Y,SPL,BETB,WSA,3.14,8.39,7.14,4.95,5.33,2.86,53.02,Good
6/12/2023,2012568,NRS_ND-10345,NRS18_ND_10015,6/12/2018,1,ND,PROB,,Y,NPL,BERW,WSA,0,5.84,4,5.57,0,1.25,27.77,Poor
6/12/2023,2012569,NRS_MI-10054,NRS18_MI_10010,6/12/2018,1,MI,PROB,,Y,TPL,BETB,WSA,0.79,7.84,2.5,2.94,0,1.97,26.73,Fair
6/12/2023,2012570,NRS_CA-10953,NRS18_CA_10032,6/12/2018,1,CA,PROB,,Y,XER,BETB,WSA,0,3.34,2.86,2.22,0.59,0,15.02,Poor
6/12/2023,2012571,NRS_WV-10068,NRS18_WV_10012,6/12/2018,1,WV,PROB,,Y,SAP,BERW,WSA,7.73,2.45,0,6.96,4.5,5.67,45.52,Good
6/12/2023,2012572,NRS_OH-10104,NRS18_OH_10030,6/12/2018,1,OH,PROB,,Y,NAP,BETB,WSA,0,2.08,2.22,0,0,0,7.17,Poor
6/12/2023,2012573,NRS_LA-10195,NRS18_LA_10014,6/12/2018,1,LA,PROB,,Y,CPL,BETB,WSA,4.24,6.8,5,2.8,4.38,4.33,45.92,Fair
6/12/2023,2012574,NRS_MN-10232,NRS18_MN_RF001,6/12/2018,1,MN,HAND,,Y,UMW,BERW,WSA,6.35,6.97,0,7.39,5.56,2.38,47.75,Good
6/12/2023,2012575,NRS_OK-10066,NRS18_OK_10051,6/12/2018,1,OK,PROB,,Y,SPL,BERW,WSA,10,5.45,2.86,8.04,4,4.29,57.73,Good
6/12/2023,2012576,NRS_UT-10260,NRS18_UT_10003,6/12/2018,1,UT,PROB,,Y,XER,BERW,WSA,8.05,5.68,1.43,0.84,0.59,3.47,33.43,Poor
6/12/2023,2012577,NRS_LA-10208,NRS18_LA_10022,6/12/2018,1,LA,PROB,,Y,CPL,BETB,WSA,0,0.77,2.5,2.17,0.62,4.33,17.32,Poor
6/12/2023,2012578,NRS_OH-10048,NRS18_OH_10005,6/12/2018,1,OH,PROB,,Y,SAP,BERW,WSA,0,7.7,5.56,1.73,0.5,0,25.82,Poor
6/12/2023,2012579,NRS_CA-10949,NRS18_CA_10031,6/12/2018,1,CA,PROB,,Y,XER,BERW,WSA,4.49,6.97,5.71,4.58,5.29,4.21,52.08,Fair
6/12/2023,2012580,NRS_TX-10331,NRS18_TX_10081,6/13/2018,1,TX,PROB,,Y,SPL,BERW,WSA,0.21,1.09,0,7.59,0,0,14.82,Poor
6/12/2023,2012581,NRS_VT-10119,NRS18_VT_10006,6/13/2018,1,VT,PROB,,Y,NAP,BERW,WSA,6.44,4.86,4.44,4.59,6.67,7.52,57.53,Good
6/12/2023,2012582,NRS_CA-10931,NRS18_CA_10033,6/13/2018,1,CA,PROB,,Y,XER,BETB,WSA,0,1.06,7.14,0,0.59,0,14.65,Poor
6/12/2023,2012584,NRS_NE-10164,NRS18_NE_10035,6/13/2018,1,NE,PROB,,Y,TPL,BERW,WSA,2.93,6.76,2.5,3.53,3,4.1,38.03,Fair
6/12/2023,2012585,NRS_MI-10158,NRS18_MI_10081,6/13/2018,1,MI,PROB,,Y,TPL,BERW,WSA,0,8.86,6.25,2.94,0,0,30.08,Fair
6/12/2023,2012586,NRS_UT-10268,NRS18_UT_10005,6/13/2018,1,UT,PROB,,Y,XER,BERW,WSA,0,1.02,2.86,0.65,0.59,0,8.53,Poor
6/12/2023,2012587,NRS_NV-10465,NRS18_NV_10016,6/13/2018,1,NV,PROB,,Y,WMT,BERW,WSA,4.45,2.43,4.29,1.95,4.12,1.94,31.97,Poor
6/12/2023,2012588,NRS_TN-10066,NRS18_TN_10004,6/13/2018,1,TN,PROB,,Y,SAP,BERW,WSA,3.83,1.44,3.33,3.31,1,0,21.52,Poor
6/12/2023,2012589,NRS_TN-10143,NRS18_TN_10024,6/12/2018,1,TN,PROB,,Y,SAP,BETB,WSA,0,0,0,10,0,0,16.67,Poor
6/12/2023,2012590,NRS_WV-10072,NRS18_WV_10016,6/13/2018,1,WV,PROB,,Y,SAP,BERW,WSA,6.05,5.97,6.67,7.74,6,7.66,66.82,Good
6/12/2023,2012591,NRS_WI-10056,NRS18_WI_10001,6/13/2018,1,WI,PROB,,Y,UMW,BERW,WSA,3.53,0,0,0,0,0,5.88,Poor
6/12/2023,2012592,NRS_LA-10193,NRS18_LA_10016,6/13/2018,1,LA,PROB,,Y,CPL,BETB,WSA,1.59,0,3.75,0.59,0,3.75,16.13,Poor
6/12/2023,2012593,NRS_OH-10034,NRS18_OH_10001,6/13/2018,1,OH,PROB,,Y,SAP,BERW,WSA,0,5.04,5.56,0.35,0,1.34,20.48,Poor
6/12/2023,2012594,NRS_IL-10142,NRS18_IL_10366,6/13/2018,1,IL,PROB,,Y,TPL,BERW,WSA,0.88,8.52,5,4.12,0,0,30.87,Fair
6/12/2023,2012595,NRS_VT-10151,NRS18_VT_10335,6/12/2018,1,VT,PROB,,Y,NAP,BETB,WSA,9.19,9.22,10,8.75,10,6.98,90.23,Good
6/12/2023,2012596,NRS_NY-10079,NRS18_NY_10009,6/13/2018,1,NY,PROB,,Y,NAP,BERW,WSA,0.33,0,1.11,0,0,0,2.4,Poor
6/12/2023,2012597,NRS_CA-11206,NRS18_CA_10088,6/13/2018,1,CA,PROB,,Y,WMT,BERW,WSA,0,2.56,0,0,0,5.92,14.13,Poor
6/12/2023,2012598,NRS_NE-10173,NRS18_NE_10044,6/14/2018,1,NE,PROB,,Y,TPL,BERW,WSA,1.42,3.75,1.25,3.53,1,0.45,19,Poor
6/12/2023,2012599,NRS_ND-10341,NRS18_ND_10010,6/14/2018,1,ND,PROB,,Y,NPL,BERW,WSA,3.5,10,6,3.32,4.29,5.83,54.9,Fair
6/12/2023,2012600,NRS_CA-11203,NRS18_CA_10054,6/14/2018,1,CA,PROB,,Y,XER,BETB,WSA,0,0.65,5.71,0,0,0,10.6,Poor
6/12/2023,2012601,NRS_MI-10114,NRS18_MI_10015,6/14/2018,1,MI,PROB,,Y,TPL,BERW,WSA,0,5.11,2.5,2.35,0,0,16.6,Poor
6/12/2023,2012602,NRS_TN-10111,NRS18_TN_10010,6/14/2018,1,TN,PROB,,Y,SAP,BETB,WSA,1.59,2.09,1.11,3.16,0,0,13.25,Poor
6/12/2023,2012603,NRS_WV-10036,NRS18_WV_10003,6/14/2018,1,WV,PROB,,Y,SAP,BERW,WSA,2.35,8.06,4.44,3.53,3,2.33,39.52,Fair
6/12/2023,2012604,NRS_NV-10306,NRS18_NV_10002,6/14/2018,1,NV,PROB,,Y,XER,BERW,WSA,7.04,8.12,4.29,4.49,3.53,1.23,47.83,Fair
6/12/2023,2012605,NRS_UT-10355,NRS18_UT_10012,6/14/2018,1,UT,PROB,,Y,WMT,BERW,WSA,0.78,7.39,1.43,0.53,1.76,0,19.82,Poor
6/12/2023,2012606,NRS_WI-10121,NRS18_WI_10020,6/14/2018,1,WI,PROB,,Y,UMW,BERW,WSA,0,5.48,1.43,1.01,2.22,4.49,24.38,Fair
6/12/2023,2012607,NRS_OH-10068,NRS18_OH_10011,6/11/2018,1,OH,PROB,,Y,SAP,BERW,WSA,0.61,9.35,3.33,1.05,0,0,23.9,Poor
6/12/2023,2012608,NRS_OH-10049,NRS18_OH_10006,6/14/2018,1,OH,PROB,,Y,NAP,BERW,WSA,0,2.71,1.11,0,0,0.29,6.85,Poor
6/12/2023,2012609,NRS_PA-10089,NRS18_PA_10028,6/14/2018,1,PA,PROB,,Y,NAP,BETB,WSA,6.11,8.92,10,4.72,8.57,1.88,67,Good
6/12/2023,2012610,NRS_LA-10206,NRS18_LA_10020,6/14/2018,1,LA,PROB,,Y,CPL,BERW,WSA,0,0.47,2.5,0,0,0,4.95,Poor
6/12/2023,2012611,NRS_LA-10204,NRS18_LA_10018,6/14/2018,1,LA,PROB,,Y,CPL,BERW,WSA,5.67,0.95,2.5,0.76,0,0.49,17.28,Poor
6/12/2023,2012612,NRS_LA-10133,NRS18_LA_10005,6/17/2018,1,LA,PROB,,Y,CPL,BETB,WSA,7.03,4.56,5,0,0.62,0,28.68,Poor
6/12/2023,2012613,NRS_LA-10196,NRS18_LA_10015,6/17/2018,1,LA,PROB,,Y,CPL,BETB,WSA,4.93,6.86,3.75,3.88,2.5,2.25,40.28,Poor
6/12/2023,2012624,NRS_IL-10135,NRS18_IL_10041,6/27/2018,1,IL,PROB,,Y,TPL,BETB,WSA,7.13,7.22,8.75,5.88,5,2.62,61,Good
6/12/2023,2012625,NRS_LA-10124,NRS18_LA_10003,6/18/2018,1,LA,PROB,,Y,CPL,BETB,WSA,0,0,0,3.05,0,0.75,6.33,Poor
6/12/2023,2012626,NRS_WI-10187,NRS18_WI_10039,6/18/2018,1,WI,PROB,,Y,TPL,BERW,WSA,0,5.8,1.25,1.18,0,1.14,15.62,Poor
6/12/2023,2012627,NRS_CA-10935,NRS18_CA_10036,6/18/2018,1,CA,PROB,,Y,XER,BETB,WSA,0,0.41,1.43,2.29,0.59,0.01,7.88,Poor
6/12/2023,2012628,NRS_NV-10390,NRS18_NV_10008,6/19/2018,1,NV,PROB,,Y,XER,BERW,WSA,9.49,0.48,0,0.17,0.59,6.01,27.9,Poor
6/12/2023,2012631,NRS_WA-10356,NRS18_WA_10043,6/18/2018,1,WA,PROB,,Y,WMT,BERW,WSA,8.54,5.36,7.14,8.11,9.41,6.48,75.07,Good
6/12/2023,2012633,NRS_OK-10054,NRS18_OK_10056,6/18/2018,1,OK,PROB,,Y,SPL,BERW,WSA,1.5,6.21,5.71,4.91,4,1.43,39.6,Good
6/12/2023,2012634,NRS_KS-10324,NRS18_KS_RF001,6/19/2018,1,KS,HAND,,Y,TPL,BERW,WSA,4.69,7.9,7.5,8.24,5,4.59,63.2,Good
6/12/2023,2012635,NRS_CA-11201,NRS18_CA_10052,6/19/2018,1,CA,PROB,,Y,XER,BETB,WSA,0,2.96,5.71,1.01,1.18,0,18.1,Poor
6/12/2023,2012636,NRS_LA-10210,NRS18_LA_10481,6/18/2018,1,LA,PROB,,Y,CPL,BETB,WSA,4.17,1.01,1.25,0.59,0,0,11.7,Poor
6/12/2023,2012637,NRS_OK-10217,NRS18_OK_11082,6/18/2018,1,OK,PROB,,Y,SPL,BERW,WSA,0,0,0,0.89,0,0,1.48,Poor
6/12/2023,2012638,NRS_WA-10451,NRS18_WA_10211,6/17/2018,1,WA,PROB,,Y,XER,BERW,WSA,0,4.7,7.14,3.94,2.35,0,30.22,Poor
6/12/2023,2012639,NRS_CA-10858,NRS18_CA_10009,6/18/2018,1,CA,PROB,,Y,WMT,BERW,WSA,5.18,10,4.29,3.85,9.41,6.02,64.58,Good
6/12/2023,2012640,NRS_KS-10272,NRS18_KS_10123,6/18/2018,1,KS,PROB,,Y,SPL,BERW,WSA,0.51,1.14,7.14,3.95,1.33,0,23.45,Fair
6/12/2023,2012641,NRS_LA-10085,NRS18_LA_10007,6/19/2018,1,LA,PROB,,Y,CPL,BETB,WSA,0,3.96,3.75,2.64,1.25,2.81,24.02,Poor
6/12/2023,2012642,NRS_OR-10629,NRS18_OR_10042,6/19/2018,1,OR,PROB,,Y,XER,BETB,WSA,7.45,6,5.71,6.22,7.06,2.52,58.27,Good
6/12/2023,2012643,NRS_UT-10262,NRS18_UT_10004,6/18/2018,1,UT,PROB,,Y,WMT,BERW,WSA,0,0,2.86,0.7,0,0,5.93,Poor
6/12/2023,2012645,NRS_GA-10113,NRS18_GA_10011,6/19/2018,1,GA,PROB,,Y,CPL,BERW,WSA,9.48,10,3.75,7.81,9.38,10,84.03,Good
6/12/2023,2012646,NRS_OK-10199,NRS18_OK_10058,6/19/2018,1,OK,PROB,,Y,SPL,BERW,WSA,0.61,4.5,2.86,0,0.67,0,14.4,Poor
6/12/2023,2012647,NRS_KY-10037,NRS18_KY_10001,6/19/2018,1,KY,PROB,,Y,SAP,BERW,WSA,5.75,2.88,0,0,1,0,16.05,Poor
6/12/2023,2012648,NRS_MI-10169,NRS18_MI_10682,6/19/2018,1,MI,PROB,,Y,TPL,BETB,WSA,0,4.89,3.75,0,0,0,14.4,Poor
6/12/2023,2012649,NRS_OK-10221,NRS18_OK_11329,6/19/2018,1,OK,PROB,,Y,SPL,BERW,WSA,1.19,6.35,2.86,0.13,0.67,1.43,21.05,Poor
